sim_gen inv_id qtn_id qtn_freqP1 qtn_freqP2 qtn_freq qtn_FST 
1800 5372 155072 0.0005 0 0.00025 0.000250063
1800 5372 154822 0.0005 0 0.00025 0.000250063
1800 134164 30219 0.6025 0.6215 0.612 0.00038007
1800 65709 155120 0 0.0005 0.00025 NAN
1800 48258 129122 0.028 0.022 0.025 NAN
1800 48258 155039 0.0005 0 0.00025 NAN
1800 48258 119696 0.002 0.006 0.004 NAN
1800 48258 152768 0.002 0.006 0.004 NAN
1800 48258 155125 0 0.0005 0.00025 NAN
1800 29383 85244 0.011 0.009 0.01 NAN
1800 17029 146663 0.0465 0.04 0.04325 NAN
1800 17029 154852 0.001 0 0.0005 NAN
1800 17029 155117 0 0.0005 0.00025 NAN
1800 38234 131421 0.0335 0.027 0.03025 NAN
1800 38234 148983 0.006 0.006 0.006 NAN
1800 74156 155112 0 0.0005 0.00025 NAN
1800 152067 2093 0.013 0.018 0.0155 NAN
1800 151199 38919 0.129 0.126 0.1275 2.02259e-05
1800 154685 6480 0.2065 0.2035 0.205 1.38058e-05
1800 155137 137631 0.009 0.013 0.011 NAN
1800 155137 142735 0.0435 0.042 0.04275 NAN
1800 155138 128182 0.0065 0.0075 0.007 NAN
1800 155138 138103 0.0585 0.0605 0.0595 3.5966e-05
2000 5372 165720 0.032 0.0305 0.03125 NAN
2000 5372 106781 0.1115 0.1065 0.109 1.85806e-05
2000 5372 171658 0.0005 0.001 0.00075 6.4354e-05
2000 5372 170393 0.0025 0.0025 0.0025 8.33959e-05
2000 5372 170869 0.0005 0.002 0.00125 0
2000 5372 170444 0.0005 0.001 0.00075 0.000450563
2000 5372 169551 0.001 0.001 0.001 8.33959e-05
2000 5372 172140 0.001 0 0.0005 0
2000 5372 171613 0.0005 0.002 0.00125 0.00050025
2000 5372 170707 0.0005 0.0015 0.001 0.000450563
2000 134164 30219 0.5135 0.5145 0.514 1.00078e-06
2000 65709 171246 0.0005 0.0025 0.0015 NAN
2000 155542 171832 0.0015 0.0025 0.002 NAN
2000 169105 13509 0.1125 0.1 0.10625 0.000411353
2000 17029 146663 0.004 0.009 0.0065 NAN
2000 17029 163878 0.0015 0.0015 0.0015 NAN
2000 17029 168730 0.002 0.0015 0.00175 NAN
2000 38234 148983 0.0095 0.0095 0.0095 NAN
2000 38234 157737 0.0025 0.0045 0.0035 NAN
2000 38234 131421 0.0025 0.0045 0.0035 NAN
2000 38234 157752 0.0005 0.001 0.00075 NAN
2000 26746 172075 0.0025 0.001 0.00175 NAN
2000 26746 168930 0.0055 0.005 0.00525 NAN
2000 26746 158848 0.0215 0.0255 0.0235 NAN
2000 26746 157644 0.011 0.008 0.0095 NAN
2000 26746 172255 0.001 0.0005 0.00075 NAN
2000 152067 2093 0.058 0.073 0.0655 0.000918971
2000 152067 166773 0.005 0.006 0.0055 4.57059e-05
2000 152067 170725 0.003 0.003 0.003 0
2000 152067 170083 0.004 0.0055 0.00475 0.000118986
2000 152067 170632 0.0005 0.0005 0.0005 0
2000 152067 169720 0 0.0015 0.00075 0.000750563
2000 171428 37156 0.3015 0.306 0.30375 2.39378e-05
2000 165783 47353 0.057 0.055 0.056 1.89165e-05
2000 165783 140168 0.222 0.237 0.2295 0.000318103
2000 157740 134552 0.0985 0.088 0.09325 0.000325973
2200 5372 106781 0.066 0.054 0.06 0.000638298
2200 5372 175402 0.0675 0.0675 0.0675 0
2200 5372 189422 0.001 0 0.0005 0.00050025
2200 5372 165720 0.026 0.0245 0.02525 2.28543e-05
2200 5372 174981 0.005 0.0045 0.00475 1.32207e-05
2200 5372 187504 0.0005 0 0.00025 0.000250063
2200 5372 189496 0.0005 0 0.00025 0.000250063
2200 5372 189153 0 0.0005 0.00025 0.000250063
2200 134164 30219 0.532 0.5255 0.52875 4.23902e-05
2200 187703 88415 0.2015 0.2035 0.2025 6.19219e-06
2200 155542 189135 0.0025 0.001 0.00175 NAN
2200 17029 163878 0.0075 0.004 0.00575 NAN
2200 26746 158848 0.045 0.0515 0.04825 NAN
2200 26746 168930 0.029 0.0315 0.03025 NAN
2200 26746 189255 0.0005 0.001 0.00075 NAN
2200 26746 189488 0.0005 0 0.00025 NAN
2200 26746 189219 0 0.0005 0.00025 NAN
2200 152067 2093 0.0705 0.094 0.08225 0.00182901
2200 152067 189173 0.0015 0.0005 0.001 0.00025025
2200 152067 185632 0.004 0.005 0.0045 5.58067e-05
2200 152067 189551 0 0.0005 0.00025 0.000250063
2200 186592 153485 0.015 0.0215 0.01825 NAN
2200 165783 47353 0.092 0.0915 0.09175 7.50013e-07
2200 165783 140168 0.3375 0.325 0.33125 0.000176336
2200 165783 186335 0.0065 0.0045 0.0055 0.000182824
2200 165783 187353 0.0005 0.001 0.00075 8.33959e-05
2200 188852 115792 0.1335 0.128 0.13075 6.65394e-05
2200 177951 97409 0.5545 0.537 0.54575 0.000308836
2200 187104 86707 0.228 0.2045 0.21625 0.000814596
2200 189386 6480 0.053 0.055 0.054 1.95756e-05
2200 189386 17854 0.243 0.2685 0.25575 0.000854055
2400 114688 190805 0.014 0.0195 0.01675 NAN
2400 5372 175402 0.023 0.0195 0.02125 NAN
2400 5372 106781 0.142 0.15 0.146 0.000147247
2400 5372 200080 0.006 0.002 0.004 0.000128324
2400 5372 200424 0.0025 0.0005 0.0015 0.00100402
2400 5372 198688 0.003 0.0025 0.00275 0.000667668
2400 5372 195268 0.0005 0.001 0.00075 2.27899e-05
2400 5372 193149 0.009 0.01 0.0095 8.33959e-05
2400 5372 204744 0.0005 0.001 0.00075 2.65682e-05
2400 5372 206501 0 0.0005 0.00025 8.33959e-05
2400 134164 30219 0.3895 0.3825 0.386 5.16869e-05
2400 206382 41886 0.1025 0.111 0.10675 0.000189425
2400 48258 206601 0 0.0005 0.00025 NAN
2400 48258 205866 0 0.001 0.0005 NAN
2400 48258 206634 0 0.0005 0.00025 NAN
2400 17029 163878 0.0215 0.023 0.02225 NAN
2400 26746 168930 0.1555 0.151 0.15325 3.9013e-05
2400 26746 196917 0.0295 0.032 0.03075 5.24251e-05
2400 26746 193433 0.0405 0.0375 0.039 6.00336e-05
2400 26746 200403 0.024 0.0275 0.02575 0.000122075
2400 26746 205975 0.0005 0.0005 0.0005 0
2400 26746 202369 0.0005 0.003 0.00175 0.000894422
2400 26746 205656 0 0.0005 0.00025 0.000250063
2400 206304 68495 0.5055 0.4795 0.4925 0.000676152
2400 206304 92317 0.6685 0.665 0.66675 1.3783e-05
2400 152067 2093 0.1395 0.1345 0.137 5.28626e-05
2400 152067 196416 0.011 0.0045 0.00775 0.00137355
2400 152067 206503 0.0005 0.001 0.00075 8.33959e-05
2400 152067 206527 0 0.0005 0.00025 0.000250063
2400 165783 47353 0.0425 0.0455 0.044 NAN
2400 165783 140168 0.308 0.324 0.316 5.34899e-05
2400 165783 205480 0.0015 0.001 0.00125 0.000296099
2400 165783 195190 0.0005 0.0005 0.0005 5.00626e-05
2400 165783 202476 0.0005 0.002 0.00125 0
2400 204047 165492 0.0925 0.099 0.09575 0.000121994
2400 204047 68495 0.5055 0.4795 0.4925 0.000676152
2400 200117 167365 0.0245 0.0245 0.0245 NAN
2400 205231 182960 0.01 0.0045 0.00725 NAN
2400 206635 94372 0.109 0.1185 0.11375 0.00022381
2600 5372 217969 0.0185 0.012 0.01525 NAN
2600 5372 106781 0.075 0.0645 0.06975 0.000703349
2600 5372 175402 0.0035 0.0045 0.004 0.00042479
2600 5372 222781 0.002 0.004 0.003 6.2751e-05
2600 214769 200172 0.0095 0.0155 0.0125 NAN
2600 155542 220031 0.0055 0.008 0.00675 NAN
2600 155542 222936 0.001 0.001 0.001 NAN
2600 48258 223099 0.0005 0.0015 0.001 NAN
2600 210729 130643 0.1165 0.119 0.11775 1.50407e-05
2600 210729 157050 0.028 0.033 0.0305 0.000211365
2600 218150 12345 0.049 0.056 0.0525 0.000246262
2600 216700 106138 0.0965 0.117 0.10675 0.00110181
2600 216700 96339 0.199 0.1865 0.19275 0.000251048
2600 26746 200403 0.111 0.105 0.108 9.3423e-05
2600 26746 168930 0.1915 0.1895 0.1905 6.48467e-06
2600 26746 223095 0.003 0.004 0.0035 7.16794e-05
2600 26746 196917 0.0215 0.0235 0.0225 4.54675e-05
2600 26746 217659 0.006 0.0065 0.00625 1.00629e-05
2600 26746 223641 0.0005 0.0005 0.0005 0
2600 26746 193433 0.004 0.0045 0.00425 1.47686e-05
2600 26746 222010 0.001 0.0015 0.00125 5.00626e-05
2600 26746 223728 0.0005 0.0005 0.0005 0
2600 207405 129534 0.0775 0.072 0.07475 0.000109344
2600 152067 2093 0.023 0.024 0.0235 NAN
2600 152067 222972 0.001 0.0005 0.00075 NAN
2600 221953 219077 0.048 0.044 0.046 NAN
2600 221953 37301 0.7215 0.7235 0.7225 9.11494e-05
2600 221953 147592 0.095 0.0895 0.09225 4.98769e-06
2600 221953 201140 0.07 0.0645 0.06725 9.03094e-05
2600 165783 47353 0.023 0.029 0.026 NAN
2600 165783 140168 0.303 0.313 0.308 0.000355394
2600 223683 12345 0.049 0.056 0.0525 0.000246262
2600 200117 167365 0.0855 0.0775 0.0815 0.000213739
2600 223107 107923 0.143 0.151 0.147 0.000127601
2600 223365 75912 0.1905 0.169 0.17975 0.000783794
2800 5372 106781 0.071 0.066 0.0685 9.79505e-05
2800 5372 237116 0.024 0.0195 0.02175 0.000237934
2800 5372 239809 0.005 0.0025 0.00375 0.000418235
2800 5372 230817 0.0055 0.005 0.00525 1.19676e-05
2800 5372 240315 0 0.002 0.001 0.001001
2800 214769 200172 0.061 0.0755 0.06825 0.000826559
2800 214769 241192 0 0.0005 0.00025 0.000250063
2800 155542 240913 0.0005 0 0.00025 NAN
2800 210729 130643 0.03 0.0345 0.03225 NAN
2800 210729 157050 0.0195 0.022 0.02075 NAN
2800 216700 106138 0.216 0.211 0.2135 3.72206e-05
2800 216700 229351 0.0395 0.0375 0.0385 2.70141e-05
2800 216700 96339 0.243 0.2295 0.23625 0.000252513
2800 26746 168930 0.123 0.131 0.127 0.000144312
2800 26746 200403 0.021 0.028 0.0245 0.000512558
2800 26746 223095 0.021 0.0285 0.02475 0.000582601
2800 26746 228745 0.006 0.0065 0.00625 1.00629e-05
2800 207405 129534 0.146 0.126 0.136 0.000851035
2800 207405 236377 0.002 0.001 0.0015 0.000166917
2800 207405 241180 0 0.0005 0.00025 0.000250063
2800 225503 240934 0.001 0.001 0.001 NAN
2800 152067 2093 0.019 0.0175 0.01825 NAN
2800 221953 219077 0.0675 0.049 0.05825 0.00155974
2800 221953 37301 0.7085 0.729 0.71875 0.000519729
2800 221953 147592 0.128 0.1175 0.12275 0.000255961
2800 221953 201140 0.1305 0.1235 0.127 0.000110489
2800 221953 240362 0.001 0.001 0.001 0
2800 165783 47353 0.008 0.0105 0.00925 NAN
2800 165783 140168 0.3645 0.3685 0.3665 0.000170496
2800 223683 12345 0.037 0.036 0.0365 NAN
2800 149805 238348 0.0035 0.003 0.00325 NAN
2800 200117 167365 0.015 0.0175 0.01625 NAN
2800 236063 190553 0.099 0.106 0.1025 0.000133161
2800 236063 241148 0.0005 0 0.00025 0.000250063
2800 216359 241026 0.0005 0 0.00025 NAN
2800 239881 100691 0.3545 0.331 0.34275 0.000612869
2800 239881 64075 0.4885 0.466 0.47725 0.0005073
2800 239881 25321 0.909 0.9195 0.91425 0.000351576
2800 239881 54678 0.2095 0.205 0.20725 3.0813e-05
2800 239881 119997 0.2295 0.2365 0.233 6.85464e-05
2800 240622 180703 0.125 0.1165 0.12075 0.000170129
2800 241016 217685 0.01 0.009 0.0095 NAN
2800 241210 153794 0.2315 0.2095 0.2205 0.000703981
2800 241211 144350 0.068 0.054 0.061 0.000855462
2800 241211 185470 0.2205 0.215 0.21775 4.43978e-05
2800 241212 181698 0.2805 0.2845 0.2825 1.97342e-05
3000 5372 106781 0.093 0.098 0.0955 7.23549e-05
3000 5372 237116 0.023 0.0255 0.02425 6.60343e-05
3000 5372 257934 0.001 0 0.0005 0.00050025
3000 221536 257414 0.002 0.0005 0.00125 NAN
3000 221536 257514 0.0005 0 0.00025 NAN
3000 221536 258194 0 0.0005 0.00025 NAN
3000 214769 200172 0.009 0.0075 0.00825 NAN
3000 258141 51220 0.432 0.3835 0.40775 0.00243514
3000 155542 256593 0.0045 0.002 0.00325 NAN
3000 48258 256365 0.0015 0.002 0.00175 NAN
3000 210729 130643 0.0225 0.028 0.02525 NAN
3000 210729 157050 0.0225 0.028 0.02525 NAN
3000 247850 34034 0.7095 0.7205 0.715 0.000148448
3000 216700 106138 0.2105 0.214 0.21225 1.83164e-05
3000 216700 229351 0.004 0.0095 0.00675 0.00112798
3000 216700 96339 0.1565 0.172 0.16425 0.000437544
3000 26746 168930 0.1415 0.138 0.13975 2.54741e-05
3000 26746 200403 0.0135 0.0165 0.015 0.000152284
3000 26746 257159 0.0005 0.001 0.00075 8.33959e-05
3000 26746 223095 0 0.0005 0.00025 0.000250063
3000 26746 252159 0 0.0005 0.00025 0.000250063
3000 207405 129534 0.185 0.1875 0.18625 1.03094e-05
3000 207405 255865 0.0065 0.004 0.00525 0.00029919
3000 207405 257697 0.002 0 0.001 0.001001
3000 207405 248803 0.005 0.004 0.0045 5.58067e-05
3000 207405 257602 0 0.0005 0.00025 0.000250063
3000 257031 28340 0.4035 0.4045 0.404 1.03827e-06
3000 161844 258241 0 0.0005 0.00025 NAN
3000 221953 219077 0.14 0.1395 0.13975 5.1988e-07
3000 221953 37301 0.6135 0.62 0.61675 4.46864e-05
3000 221953 147592 0.1035 0.1005 0.102 2.45644e-05
3000 221953 201140 0.139 0.135 0.137 3.38321e-05
3000 165783 47353 0.0475 0.045 0.04625 NAN
3000 165783 140168 0.3845 0.382 0.38325 3.54221e-05
3000 254695 143492 0.277 0.2775 0.27725 3.11904e-07
3000 200117 167365 0.0135 0.014 0.01375 NAN
3000 242959 139063 0.2925 0.3045 0.2985 0.000171922
3000 242959 68513 0.455 0.479 0.467 0.00057852
3000 242959 140168 0.3845 0.382 0.38325 6.61041e-06
3000 230092 258109 0.0005 0.001 0.00075 NAN
3000 230092 257909 0 0.0015 0.00075 NAN
3000 230092 258230 0 0.0005 0.00025 NAN
3000 258140 44611 0.598 0.5985 0.59825 2.60041e-07
3000 254693 196334 0.068 0.0675 0.06775 9.89551e-07
3000 257902 76288 0.4805 0.4885 0.4845 6.40616e-05
3000 257902 68513 0.455 0.479 0.467 0.00057852
3000 257987 216305 0.051 0.0735 0.06225 0.0021681
3200 264444 251952 0.0295 0.0255 0.0275 NAN
3200 5372 106781 0.049 0.0455 0.04725 NAN
3200 5372 257934 0.0065 0.011 0.00875 NAN
3200 5372 264506 0.014 0.0185 0.01625 NAN
3200 5372 267642 0.0015 0.003 0.00225 NAN
3200 5372 275385 0.0005 0 0.00025 NAN
3200 221536 261169 0.0185 0.0175 0.018 NAN
3200 273077 269991 0.005 0.006 0.0055 NAN
3200 210729 271946 0.002 0.0025 0.00225 NAN
3200 210729 130643 0.002 0.0025 0.00225 NAN
3200 210729 157050 0.002 0.0025 0.00225 NAN
3200 26746 168930 0.2095 0.212 0.21075 9.39373e-06
3200 26746 274524 0.001 0.0005 0.00075 8.33959e-05
3200 26746 200403 0.002 0.0025 0.00225 2.78404e-05
3200 207405 129534 0.224 0.2245 0.22425 3.59274e-07
3200 207405 268068 0.009 0.0095 0.00925 6.81984e-06
3200 257031 28340 0.417 0.4215 0.41925 2.07923e-05
3200 270664 14865 0.4015 0.3955 0.3985 3.75473e-05
3200 221953 219077 0.0615 0.072 0.06675 0.000442455
3200 221953 37301 0.5255 0.5425 0.534 0.000290343
3200 221953 147592 0.0185 0.0175 0.018 1.41435e-05
3200 221953 201140 0.035 0.05 0.0425 0.00138228
3200 165783 47353 0.049 0.0475 0.04825 NAN
3200 165783 140168 0.2755 0.2725 0.274 1.2249e-05
3200 165783 275363 0.0005 0 0.00025 1.13109e-05
3200 149805 275295 0.001 0 0.0005 NAN
3200 274021 111724 0.39 0.389 0.3895 1.05135e-06
3200 242959 139063 0.36 0.369 0.3645 8.74202e-05
3200 242959 68513 0.4135 0.39 0.40175 0.00057443
3200 242959 140168 0.2755 0.2725 0.274 1.13109e-05
3200 274284 64075 0.3635 0.355 0.35925 7.8468e-05
3200 274284 25321 0.923 0.9155 0.91925 0.000189446
3200 274284 135097 0.1205 0.116 0.11825 4.85533e-05
3200 274284 275384 0.0005 0 0.00025 0.000250063
3200 272650 97987 0.1195 0.109 0.11425 0.000272365
3200 271942 7551 0.6215 0.594 0.60775 0.000793081
3200 275443 48226 0.075 0.0755 0.07525 8.98151e-07
3200 275445 86434 0.8965 0.902 0.89925 8.34718e-05
3400 290389 278223 0.011 0.0105 0.01075 NAN
3400 5372 106781 0.0515 0.041 0.04625 NAN
3400 5372 291586 0.004 0.0035 0.00375 NAN
3400 5372 264506 0.0115 0.009 0.01025 NAN
3400 5372 257934 0.0025 0.0035 0.003 NAN
3400 5372 284916 0.0095 0.0115 0.0105 NAN
3400 221536 261169 0.116 0.1145 0.11525 5.51647e-06
3400 221536 290850 0.006 0.0015 0.00375 0.00135508
3400 221536 289417 0.0025 0.0035 0.003 8.35841e-05
3400 155542 286215 0.002 0.0025 0.00225 NAN
3400 210729 271946 0.0295 0.0325 0.031 NAN
3400 210729 130643 0.0295 0.0325 0.031 NAN
3400 210729 157050 0.0295 0.0325 0.031 NAN
3400 291446 200531 0.084 0.0795 0.08175 6.74398e-05
3400 26746 168930 0.1185 0.1315 0.125 0.000386286
3400 26746 292369 0 0.0005 0.00025 0.000250063
3400 207405 129534 0.5335 0.5195 0.5265 0.000196552
3400 207405 268068 0.039 0.0335 0.03625 0.000216468
3400 207405 284101 0.0165 0.023 0.01975 0.000545585
3400 207405 287586 0.013 0.009 0.011 0.000367681
3400 207405 280714 0.0275 0.023 0.02525 0.000205689
3400 207405 292218 0.001 0 0.0005 0.00050025
3400 207405 292496 0 0.0005 0.00025 0.000250063
3400 207405 292596 0 0.0005 0.00025 0.000250063
3400 207405 292224 0 0.0005 0.00025 0.000250063
3400 290204 68495 0.8835 0.891 0.88725 0.000140572
3400 290204 232695 0.219 0.2415 0.23025 0.000714095
3400 290204 92317 0.418 0.3765 0.39725 0.00179819
3400 292000 244244 0.166 0.1665 0.16625 4.50902e-07
3400 165783 47353 0.0025 0.0045 0.0035 NAN
3400 165783 140168 0.294 0.296 0.295 0.000286718
3400 149805 289578 0.0085 0.009 0.00875 NAN
3400 274284 64075 0.3495 0.3605 0.355 0.00013211
3400 274284 25321 0.987 0.982 0.9845 0.000409574
3400 274284 135097 0.154 0.1525 0.15325 4.33478e-06
3400 289842 94372 0.1315 0.1315 0.1315 0
3400 292437 106910 0.261 0.265 0.263 2.06365e-05
3400 292437 181698 0.1425 0.133 0.13775 0.00018996
3400 292437 17854 0.322 0.3255 0.32375 1.39881e-05
3600 5372 264506 0.0485 0.049 0.04875 NAN
3600 5372 294095 0.0065 0.005 0.00575 NAN
3600 221536 261169 0.0605 0.06 0.06025 1.10385e-06
3600 297614 242637 0.143 0.142 0.1425 2.04593e-06
3600 210729 271946 0.1755 0.186 0.18075 0.000186133
3600 210729 130643 0.1755 0.186 0.18075 0.000186133
3600 210729 157050 0.1755 0.186 0.18075 0.000186133
3600 210729 303327 0.0035 0.0025 0.003 8.35841e-05
3600 210729 309779 0.0005 0.0005 0.0005 0
3600 210729 307619 0.0015 0.0015 0.0015 0
3600 307937 37156 0.2505 0.2225 0.2365 0.00108547
3600 26746 168930 0.19 0.2045 0.19725 0.000331955
3600 26746 309508 0.0005 0 0.00025 0.000250063
3600 207405 129534 0.497 0.4935 0.49525 1.22511e-05
3600 207405 309044 0.0015 0.0025 0.002 0.000125251
3600 207405 297245 0.007 0.0105 0.00875 0.00035309
3600 207405 302989 0.0015 0.001 0.00125 5.00626e-05
3600 207405 284101 0.0005 0.001 0.00075 8.33959e-05
3600 207405 308376 0 0.0005 0.00025 0.000250063
3600 274284 64075 0.528 0.535 0.5315 4.91953e-05
3600 274284 25321 1 1 1 NAN
3600 274284 135097 0.213 0.2065 0.20975 6.37236e-05
3600 305013 306134 0.0145 0.007 0.01075 NAN
3600 305013 227315 0.1285 0.127 0.12775 0.00132235
3600 308780 259841 0.1835 0.1805 0.182 1.51132e-05
3600 308780 167989 0.3025 0.273 0.28775 0.00106154
3600 309736 143492 0.2215 0.252 0.23675 0.00128701
3600 308970 211078 0.124 0.1105 0.11725 0.000440207
3600 308466 271570 0.142 0.1375 0.13975 4.21103e-05
3600 308628 106138 0.199 0.201 0.2 6.25e-06
3600 309596 53870 0.1945 0.2035 0.199 0.00012704
3600 309737 167320 0.739 0.742 0.7405 1.1709e-05
3800 5372 264506 0.1095 0.11 0.10975 6.39681e-07
3800 5372 326064 0.0005 0.001 0.00075 8.33959e-05
3800 221536 261169 0.013 0.0115 0.01225 NAN
3800 297614 242637 0.116 0.1375 0.12675 0.00104407
3800 155542 326829 0.0015 0 0.00075 NAN
3800 155542 326416 0.0005 0.002 0.00125 NAN
3800 326609 164168 0.5425 0.5555 0.549 0.000170639
3800 210729 271946 0.3975 0.402 0.39975 2.10982e-05
3800 210729 130643 0.3975 0.402 0.39975 2.10982e-05
3800 210729 157050 0.3975 0.402 0.39975 2.10982e-05
3800 210729 326435 0.0015 0.0005 0.001 0.00025025
3800 210729 324587 0.0055 0.005 0.00525 1.19676e-05
3800 210729 325828 0.0015 0.001 0.00125 5.00626e-05
