position mutID selCoef originGen type freq p1freq p2freq adapPhenoDiv FST 
227885 23633048 -0.00268585 28079 m2 0.51375 0.32 0.7075 0.00155 0.15027
1185248 7965789 -0.00308591 9465 m2 0.509 0.665 0.353 -0.001248 0.0973755
260119 16931200 -0.00243264 20115 m2 0.51375 0.32 0.7075 0.00155 0.15027
442957 23442722 0.00253612 27853 m2 0.448 0.3385 0.5575 0.000876 0.0484854
418839 33316277 -0.0017569 39584 m2 0.5615 0.557 0.566 3.6e-05 8.22443e-05
1171643 32364634 0.0020816 38454 m2 0.509 0.665 0.353 -0.001248 0.0973755
229456 28234580 -0.000784893 33545 m2 0.48625 0.68 0.2925 -0.00155 0.15027
1917161 38702828 0.000937392 45986 m2 0.7975 0.8155 0.7795 -0.000144 0.00200627
1330047 21802987 -0.00332804 25905 m2 0.42 0.337 0.503 0.000664 0.02828
1425219 38531230 -0.000325795 45782 m2 0.914 0.916 0.912 -1.6e-05 5.0888e-05
1972508 35671737 -0.000874251 42383 m2 0.6705 0.671 0.67 -4e-06 1.13158e-06
225106 19689402 -0.00181383 23393 m2 0.48625 0.68 0.2925 -0.00155 0.15027
1189961 8734280 -0.00308807 10377 m2 0.491 0.335 0.647 0.001248 0.0973755
1351639 2568076 0.000824971 3052 m2 0.58 0.663 0.497 -0.000664 0.02828
959175 41757537 -0.00136737 49616 m2 0.08425 0.07 0.0985 0.000114 0.00263198
1042843 20657247 0.00181819 24542 m2 0.53575 0.4075 0.664 0.001026 0.0661303
139591 41341618 -0.0015454 49123 m2 0.202 0.205 0.199 -2.4e-05 5.58327e-05
1928490 40645038 0.000650922 48296 m2 0.26075 0.22 0.3015 0.000326 0.00861469
1448397 35196706 0.003794 41817 m2 0.237 0.2595 0.2145 -0.00018 0.00279958
1876092 41704564 0.00264354 49554 m2 0.09575 0.105 0.0865 -7.4e-05 0.000988226
1349170 22429424 0.00166693 26650 m2 0.42 0.337 0.503 0.000664 0.02828
1344009 20010645 0.00309976 23774 m2 0.42 0.337 0.503 0.000664 0.02828
1319345 15101814 9.65808e-05 17941 m2 0.58 0.663 0.497 -0.000664 0.02828
256223 13068769 -0.000830105 15524 m2 0.51375 0.32 0.7075 0.00155 0.15027
1882734 39778304 0.00349681 47265 m2 0.54425 0.5475 0.541 -2.6e-05 4.25835e-05
1603522 42047069 -0.000805927 49960 m2 0.05075 0.044 0.0575 5.4e-05 0.000945782
948903 36188664 0.00305221 42997 m2 0.604 0.612 0.596 -6.4e-05 0.000267576
1333841 30304197 -0.00055816 36003 m2 0.58 0.663 0.497 -0.000664 0.02828
188935 23073405 -0.00221618 27416 m2 0.60925 0.6575 0.561 -0.000386 0.00977913
1166712 9531325 0.00310481 11326 m2 0.509 0.665 0.353 -0.001248 0.0973755
48107 39409009 0.000463075 46826 m2 0.26025 0.2565 0.264 3e-05 7.30444e-05
264373 18999516 0.00177755 22572 m2 0.51375 0.32 0.7075 0.00155 0.15027
1023097 3949725 -0.00225963 4693 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1054403 26740119 0.00236954 31771 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1347940 6294918 0.00220276 7480 m2 0.58 0.663 0.497 -0.000664 0.02828
725327 41363796 0.00131409 49149 m2 0.10025 0.0825 0.118 0.000142 0.00349293
608498 13252775 0.0032765 15742 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
50105 39366629 -0.000945675 46776 m2 0.84675 0.8475 0.846 -6e-06 4.33478e-06
226987 14319316 0.00473499 17012 m2 0.48625 0.68 0.2925 -0.00155 0.15027
1324058 7440638 0.0023853 8841 m2 0.58 0.663 0.497 -0.000664 0.02828
651497 41140251 -0.0023274 48884 m2 0.121 0.124 0.118 -2.4e-05 8.46191e-05
1075907 20581872 0.000503087 24452 m2 0.53325 0.4035 0.663 0.001038 0.0676394
1420942 41133724 -0.004457 48876 m2 0.09225 0.1065 0.078 -0.000114 0.00242492
1230833 41867158 -0.00253541 49746 m2 0.05025 0.0465 0.054 3e-05 0.000294657
1328751 17430236 -0.00244252 20708 m2 0.42 0.337 0.503 0.000664 0.02828
1055645 41929033 -0.00141319 49820 m2 0.06875 0.051 0.0865 0.000142 0.00492105
1547536 40490574 -0.000620288 48112 m2 0.62425 0.63 0.6185 -4.6e-05 0.000140954
221007 11473072 0.000748477 13628 m2 0.51375 0.32 0.7075 0.00155 0.15027
624252 11783053 -0.000824795 13997 m2 0.56725 0.421 0.7135 0.00117 0.0871325
849662 41229703 0.00069641 48990 m2 0.308 0.2925 0.3235 0.000124 0.00112721
614393 11783902 0.000135246 13998 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
1624593 41072875 -0.001844 48804 m2 0.322 0.3325 0.3115 -8.4e-05 0.000505002
1156818 16388979 -0.000908061 19470 m2 0.491 0.335 0.647 0.001248 0.0973755
299530 41185035 0.00243367 48937 m2 0.369 0.382 0.356 -0.000104 0.000725823
1208274 38029445 0.000790647 45186 m2 0.404 0.378 0.43 0.000208 0.0028075
242636 14786318 -0.00163107 17566 m2 0.51375 0.32 0.7075 0.00155 0.15027
1132609 41521654 0.00368659 49337 m2 0.2505 0.269 0.232 -0.000148 0.00182291
1170777 28256134 0.00267076 33570 m2 0.491 0.335 0.647 0.001248 0.0973755
837413 41473387 0.000273957 49279 m2 0.27975 0.2865 0.273 -5.4e-05 0.000226128
273081 24471115 0.000828013 29075 m2 0.51375 0.32 0.7075 0.00155 0.15027
1340685 23528581 -0.00115171 27954 m2 0.42 0.337 0.503 0.000664 0.02828
1983662 37138476 0.000661391 44126 m2 0.6855 0.699 0.672 -0.000108 0.000845356
518928 35559430 -0.00233745 42250 m2 0.62225 0.6165 0.628 4.6e-05 0.000140659
261499 13448356 -0.000714936 15975 m2 0.51375 0.32 0.7075 0.00155 0.15027
612990 10186382 -0.00419678 12104 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
1161003 13812029 0.000142475 16409 m2 0.509 0.665 0.353 -0.001248 0.0973755
1938330 37058123 -0.000684492 44031 m2 0.30175 0.316 0.2875 -0.000114 0.000963766
639018 2394302 -0.0027086 2845 m2 0.56725 0.421 0.7135 0.00117 0.0871325
471459 37449104 0.00223658 44496 m2 0.514 0.6095 0.4185 -0.000764 0.0365096
1181745 28874599 0.000694809 34307 m2 0.509 0.665 0.353 -0.001248 0.0973755
1318429 31816252 -0.00121731 37803 m2 0.58 0.663 0.497 -0.000664 0.02828
1610862 33839778 -0.00276054 40205 m2 0.7375 0.732 0.743 4.4e-05 0.000156255
1609298 40367113 0.00122495 47965 m2 0.31625 0.2975 0.335 0.00015 0.00162583
1376050 40048838 0.00285019 47587 m2 0.5975 0.6045 0.5905 -5.6e-05 0.000203747
614065 25830851 -0.000713981 30691 m2 0.56725 0.421 0.7135 0.00117 0.0871325
452297 18525215 0.00154823 22009 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
1156705 34017191 -0.0029654 40416 m2 0.491 0.335 0.647 0.001248 0.0973755
525790 41710570 -0.000540197 49561 m2 0.06925 0.0645 0.074 3.8e-05 0.000350053
1351180 4090444 0.00252643 4861 m2 0.58 0.663 0.497 -0.000664 0.02828
587171 41627991 0.000630465 49463 m2 0.16575 0.1685 0.163 -2.2e-05 5.4691e-05
1635163 41622859 0.00165989 49457 m2 0.1215 0.099 0.144 0.00018 0.00474293
1731618 41581447 -0.000998802 49408 m2 0.14775 0.1385 0.157 7.4e-05 0.000679499
74921 40911929 0.000993944 48613 m2 0.27375 0.297 0.2505 -0.000186 0.00271898
465799 21649091 -0.00191153 25721 m2 0.448 0.3385 0.5575 0.000876 0.0484854
296414 41171179 0.000787286 48920 m2 0.1405 0.1535 0.1275 -0.000104 0.00139947
1033744 11011786 3.3873e-05 13081 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1685731 41851647 -0.000506962 49728 m2 0.10175 0.0875 0.116 0.000114 0.00222176
233778 26396757 0.000696596 31362 m2 0.51375 0.32 0.7075 0.00155 0.15027
240178 27056521 0.000285085 32146 m2 0.51375 0.32 0.7075 0.00155 0.15027
1074879 26197029 0.00264469 31125 m2 0.53575 0.4075 0.664 0.001026 0.0661303
888223 32785555 -0.00148178 38953 m2 0.567 0.5635 0.5705 2.8e-05 4.98959e-05
627014 35769561 -0.00393068 42499 m2 0.56725 0.421 0.7135 0.00117 0.0871325
30309 41760394 0.00463306 49620 m2 0.16725 0.154 0.1805 0.000106 0.00126052
254849 41578778 0.00178931 49404 m2 0.059 0.0405 0.0775 0.000148 0.00616456
869173 41490144 -0.000213756 49299 m2 0.0565 0.0665 0.0465 -8e-05 0.0018759
1188641 27893891 0.00321226 33140 m2 0.491 0.335 0.647 0.001248 0.0973755
1054272 19631870 0.0032329 23325 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1732091 41497271 0.00351802 49307 m2 0.1095 0.102 0.117 6e-05 0.000576865
1348831 10919625 0.00155748 12972 m2 0.42 0.337 0.503 0.000664 0.02828
751264 37746495 -0.000207503 44850 m2 0.65975 0.69 0.6295 -0.000242 0.00407637
1075756 27891438 -0.000326968 33137 m2 0.53325 0.4035 0.663 0.001038 0.0676394
1194460 6831522 -0.000644534 8117 m2 0.491 0.335 0.647 0.001248 0.0973755
497695 41859308 6.91972e-05 49737 m2 0.08725 0.0955 0.079 -6.6e-05 0.000854655
1071856 6431930 0.00271553 7643 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1747546 41175601 0.00104778 48925 m2 0.3075 0.3025 0.3125 4e-05 0.000117402
627450 27244198 -0.00192565 32369 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
1066050 19184167 0.00235225 22792 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1524278 41800148 -0.000620622 49667 m2 0.111 0.095 0.127 0.000128 0.00259427
1875398 41609970 0.000720742 49442 m2 0.097 0.089 0.105 6.4e-05 0.000730669
1061873 8875552 0.00393405 10545 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1075624 41558746 0.00201541 49381 m2 0.12625 0.157 0.0955 -0.000246 0.00857179
234108 15830076 0.00238797 18807 m2 0.48625 0.68 0.2925 -0.00155 0.15027
912772 41401243 -0.00166575 49193 m2 0.08525 0.0965 0.074 -9e-05 0.00162296
1170576 34356874 -0.00118167 40819 m2 0.491 0.335 0.647 0.001248 0.0973755
161505 36562239 0.00253072 43441 m2 0.48075 0.4345 0.527 0.00037 0.00856895
1181285 9124147 0.00253194 10841 m2 0.509 0.665 0.353 -0.001248 0.0973755
458333 37472356 -0.0012065 44524 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
1061619 40214012 -0.00184508 47783 m2 0.06175 0.044 0.0795 0.000142 0.00543802
274098 28250656 -0.000653169 33564 m2 0.559 0.719 0.399 -0.00128 0.103846
1195426 38000091 0.00116751 45151 m2 0.4705 0.3215 0.6195 0.001192 0.0891142
1104724 41128696 -0.00338528 48870 m2 0.167 0.185 0.149 -0.000144 0.00232908
1500371 40658772 0.00165987 48312 m2 0.23925 0.2175 0.261 0.000174 0.00259911
1183056 17475304 -0.00177168 20762 m2 0.509 0.665 0.353 -0.001248 0.0973755
1328620 37688317 0.000132853 44780 m2 0.42 0.337 0.503 0.000664 0.02828
1090104 41738483 0.00485053 49594 m2 0.30225 0.2965 0.308 4.6e-05 0.000156772
1645369 41124449 0.00142258 48865 m2 0.074 0.072 0.076 1.6e-05 5.83737e-05
1057639 11268420 -0.00308834 13385 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
209910 38223990 0.00353745 45417 m2 0.2505 0.256 0.245 -4.4e-05 0.000161119
258992 5911127 -0.00118 7025 m2 0.51375 0.32 0.7075 0.00155 0.15027
1328080 37058843 0.000613526 44031 m2 0.11275 0.142 0.0835 -0.000234 0.00855242
1156829 5955655 0.000271685 7077 m2 0.491 0.335 0.647 0.001248 0.0973755
947528 40599920 0.000716838 48242 m2 0.80125 0.806 0.7965 -3.8e-05 0.000141681
1520222 40439915 0.000552827 48051 m2 0.69075 0.667 0.7145 0.00019 0.00264056
1811229 41350792 -0.000682358 49133 m2 0.12375 0.137 0.1105 -0.000106 0.00161904
477904 16585551 0.00237449 19705 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
159477 34372854 0.00182849 40838 m2 0.14975 0.1695 0.13 -0.000158 0.00306352
570240 37276577 -0.000376232 44290 m2 0.65925 0.638 0.6805 0.00017 0.00201017
715540 34906300 -0.000413877 41472 m2 0.52625 0.5445 0.508 -0.000146 0.00133593
1673814 41081152 0.0013295 48813 m2 0.098 0.1035 0.0925 -4.4e-05 0.00034221
485129 41736506 -0.000544481 49591 m2 0.3185 0.3505 0.2865 -0.000256 0.00471764
605959 14498003 0.000739365 17224 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1056479 2584360 -0.00186085 3071 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1070261 24655715 0.0030794 29295 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1140551 40198003 0.00265994 47764 m2 0.5035 0.535 0.472 -0.000252 0.00396919
1578808 38559669 0.000334448 45815 m2 0.286 0.29 0.282 -3.2e-05 7.8353e-05
614307 25013365 -0.00483323 29720 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
1189626 15667588 0.0019595 18614 m2 0.509 0.665 0.353 -0.001248 0.0973755
1372863 41679957 0.0034585 49524 m2 0.1425 0.167 0.118 -0.000196 0.00491228
1154161 5852548 -0.00264229 6955 m2 0.491 0.335 0.647 0.001248 0.0973755
1032398 17049686 0.00165432 20256 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1873841 41746862 -0.00187809 49604 m2 0.105 0.098 0.112 5.6e-05 0.000521415
228683 21218102 -0.00151759 25209 m2 0.51375 0.32 0.7075 0.00155 0.15027
1035204 41819029 -0.000569841 49689 m2 0.10075 0.076 0.1255 0.000198 0.00676122
415998 38462472 -0.000834242 45700 m2 0.441 0.4195 0.4625 0.000172 0.00187511
1028254 18528599 0.000750461 22013 m2 0.53575 0.4075 0.664 0.001026 0.0661303
222750 29598265 0.00305273 35166 m2 0.51375 0.32 0.7075 0.00155 0.15027
1457286 37988972 -0.00172191 45138 m2 0.89725 0.888 0.9065 7.4e-05 0.000928086
242289 40090093 0.000700636 47636 m2 0.3625 0.503 0.222 -0.001124 0.085421
1176308 27179436 -0.000207348 32292 m2 0.509 0.665 0.353 -0.001248 0.0973755
1067129 36113834 -0.000501727 42908 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1440767 37222424 -0.00199476 44226 m2 0.13275 0.1285 0.137 3.4e-05 0.000156891
456560 28211298 -0.00226473 33517 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
208594 39628007 0.000228649 47086 m2 0.693 0.7205 0.6655 -0.00022 0.00355462
1811760 41174001 0.00343895 48923 m2 0.22175 0.237 0.2065 -0.000122 0.00134759
140533 39730737 0.00125292 47208 m2 0.8285 0.8335 0.8235 -4e-05 0.000175948
230176 25666990 -0.00039571 30496 m2 0.51375 0.32 0.7075 0.00155 0.15027
1895694 41899814 0.00236322 49785 m2 0.05875 0.06 0.0575 -1e-05 2.82558e-05
466806 19839464 0.000506379 23571 m2 0.448 0.3385 0.5575 0.000876 0.0484854
1195586 39617480 -0.000114896 47073 m2 0.473 0.3245 0.6215 0.001188 0.088467
1638003 38849968 0.00115376 46162 m2 0.18025 0.194 0.1665 -0.00011 0.00127952
1509250 41397802 0.0038839 49189 m2 0.0865 0.0965 0.0765 -8e-05 0.00126554
1194999 18411306 -0.00231956 21874 m2 0.491 0.335 0.647 0.001248 0.0973755
613596 37104570 -0.000554259 44086 m2 0.322 0.23 0.414 0.000736 0.0387695
1165851 32272715 0.00224909 38344 m2 0.491 0.335 0.647 0.001248 0.0973755
1137558 41266585 -0.00289563 49033 m2 0.06975 0.08 0.0595 -8.2e-05 0.00161921
1066868 6774861 0.00187853 8050 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
456592 28421939 -0.00236607 33768 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
1189535 15868107 0.00524518 18852 m2 0.509 0.665 0.353 -0.001248 0.0973755
787519 38444275 -0.000710881 45679 m2 0.2495 0.2515 0.2475 -1.6e-05 2.13618e-05
1051805 29010848 0.00147148 34468 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
308710 40125480 0.000718943 47677 m2 0.2505 0.315 0.186 -0.000516 0.0221585
1563955 41404568 0.00188285 49197 m2 0.06525 0.0815 0.049 -0.00013 0.00432943
1056112 17997675 0.00120518 21382 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1562547 30679963 0.00160293 36450 m2 0.139 0.1335 0.1445 4.4e-05 0.000252759
208302 40381700 -0.000449275 47982 m2 0.21675 0.162 0.2715 0.000438 0.0176567
544834 35561313 -0.00497136 42253 m2 0.3405 0.362 0.319 -0.000172 0.00205847
631056 23241142 -0.000737205 27616 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
614994 8731774 -0.000584964 10374 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
906135 40001124 -0.00127632 47530 m2 0.71225 0.75 0.6745 -0.000302 0.00695322
1422248 38342963 0.00362796 45559 m2 0.15925 0.1565 0.162 2.2e-05 5.64832e-05
1074385 14561906 -0.00157039 17300 m2 0.53575 0.4075 0.664 0.001026 0.0661303
138806 40748028 0.000971196 48418 m2 0.13925 0.128 0.1505 9e-05 0.00105592
222711 19323984 -0.00111534 22958 m2 0.51375 0.32 0.7075 0.00155 0.15027
256462 19891383 -0.00179739 23632 m2 0.51375 0.32 0.7075 0.00155 0.15027
1435151 41297806 0.000908163 49071 m2 0.074 0.0865 0.0615 -0.0001 0.00228022
1913657 40842950 -3.89706e-05 48531 m2 0.07875 0.056 0.1015 0.000182 0.00713403
641130 19771820 0.00198838 23491 m2 0.415 0.56 0.27 -0.00116 0.0866028
1985655 41907454 -0.00173783 49794 m2 0.076 0.074 0.078 1.6e-05 5.69606e-05
1075979 25563677 -9.87142e-06 30373 m2 0.53325 0.4035 0.663 0.001038 0.0676394
1562948 38901503 0.0049305 46223 m2 0.613 0.6445 0.5815 -0.000252 0.00418263
618827 34704603 -0.000853402 41232 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1336495 32372010 -0.00190554 38463 m2 0.58 0.663 0.497 -0.000664 0.02828
1070221 19120049 -0.000489937 22715 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1057086 7972627 0.00258534 9473 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1460020 41742957 -0.00115287 49599 m2 0.1325 0.1395 0.1255 -5.6e-05 0.000426295
1323543 31464271 0.00278635 37384 m2 0.58 0.663 0.497 -0.000664 0.02828
1178411 40877910 0.00152616 48572 m2 0.2045 0.2535 0.1555 -0.000392 0.0147591
1264818 41066515 0.000788343 48796 m2 0.11725 0.1465 0.088 -0.000234 0.00826611
253574 10799671 -0.00234118 12829 m2 0.51375 0.32 0.7075 0.00155 0.15027
412365 40446817 -0.00229735 48059 m2 0.157 0.17 0.144 -0.000104 0.00127691
1192012 23224445 0.00381508 27596 m2 0.509 0.665 0.353 -0.001248 0.0973755
1045852 19527500 0.000913874 23201 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
115385 32674699 -0.00382453 38822 m2 0.6455 0.6625 0.6285 -0.000136 0.00126295
1259169 40787570 0.00255073 48465 m2 0.52375 0.535 0.5125 -9e-05 0.000507395
843287 41502407 0.0006741 49314 m2 0.12875 0.137 0.1205 -6.6e-05 0.000606761
363559 41979366 -0.000155522 49880 m2 0.07 0.0515 0.0885 0.000148 0.0052573
1928615 38176863 -0.00312769 45361 m2 0.5845 0.613 0.556 -0.000228 0.00334452
1428012 39338368 -0.00437098 46742 m2 0.16575 0.1735 0.158 -6.2e-05 0.000434364
383911 39910203 -0.0017626 47422 m2 0.47225 0.472 0.4725 2e-06 2.50772e-07
1720767 41560806 -0.000673575 49383 m2 0.22075 0.259 0.1825 -0.000306 0.00850522
1655099 41687128 -0.000929489 49533 m2 0.16025 0.142 0.1785 0.000146 0.00247501
1173249 13120105 -0.00426521 15585 m2 0.491 0.335 0.647 0.001248 0.0973755
1171853 41516558 -0.00229034 49331 m2 0.059 0.0775 0.0405 -0.000148 0.00616456
640862 8535675 -0.0031186 10141 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1136750 39107230 -0.00180256 46467 m2 0.07325 0.0635 0.083 7.8e-05 0.00140036
892537 40370272 -7.89841e-05 47969 m2 0.18325 0.1925 0.174 -7.4e-05 0.000571676
103127 38782852 0.000196706 46082 m2 0.17375 0.1835 0.164 -7.8e-05 0.000662175
1193927 20318283 0.00195678 24140 m2 0.491 0.335 0.647 0.001248 0.0973755
1312013 36902435 -0.00258 43846 m2 0.58 0.663 0.497 -0.000664 0.02828
232547 29499910 0.000752713 35050 m2 0.48625 0.68 0.2925 -0.00155 0.15027
624435 488075 -0.00180838 581 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
960685 39004344 0.000630614 46345 m2 0.1975 0.2345 0.1605 -0.000296 0.00863756
543744 40513695 0.000551596 48139 m2 0.32375 0.3125 0.335 9e-05 0.00057808
585584 40789880 0.000514308 48468 m2 0.0675 0.0605 0.0745 5.6e-05 0.000778473
1014108 40731187 0.00156828 48398 m2 0.267 0.296 0.238 -0.000232 0.00429715
628925 17612555 -0.000607158 20925 m2 0.43275 0.579 0.2865 -0.00117 0.0871325
1773158 41716816 0.00125656 49568 m2 0.0845 0.072 0.097 0.0001 0.00201978
1050906 13431772 -0.00168138 15956 m2 0.53575 0.4075 0.664 0.001026 0.0661303
439719 41128234 -0.00045423 48869 m2 0.082 0.064 0.1 0.000144 0.00430416
1012153 35051264 -0.00118962 41645 m2 0.6735 0.653 0.694 0.000164 0.00191112
1170532 8962731 0.00305234 10648 m2 0.491 0.335 0.647 0.001248 0.0973755
1345450 24314856 -0.00486921 28890 m2 0.42 0.337 0.503 0.000664 0.02828
1061716 17332481 0.00302924 20592 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1019351 18722877 -0.000705106 22244 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1177722 20023604 0.000205203 23789 m2 0.491 0.335 0.647 0.001248 0.0973755
637772 12531772 0.00166036 14886 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1114726 37208454 -0.00291582 44209 m2 0.40625 0.3835 0.429 0.000182 0.00214568
1052686 17309515 -0.000228613 20564 m2 0.53575 0.4075 0.664 0.001026 0.0661303
465570 18689074 0.000866402 22204 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
1341581 39165822 0.0022688 46537 m2 0.123 0.0885 0.1575 0.000276 0.011034
271364 17560273 -0.000491617 20863 m2 0.48625 0.68 0.2925 -0.00155 0.15027
